Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_49_59_761.jpg;0;0;1;0;99.66999;85.58897;0.0002384468;51.53291;-1.128349E-06
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_49_59_770.jpg;0;0;0;0;99.66999;85.58897;0.00023853;51.53291;-1.042816E-06
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_49_59_819.jpg;0;0.10089;0;0;99.67031;85.58938;0.01245253;51.53342;-4.623218E-07
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_49_59_869.jpg;0;0.2509049;0;0;99.67059;85.58973;0.02170964;51.6739;-7.681546E-05
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_49_59_920.jpg;0;0.400854;0;0;99.67149;85.59086;0.05199913;51.60242;-3.3579E-05
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_49_59_969.jpg;0;0.5532299;0;0.04240341;99.67304;85.59283;0.103935;51.51595;0.0001215329
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_020.jpg;0;0.7019459;0;0.06738078;99.67648;85.59716;0.2139177;51.43793;0.0003335944
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_068.jpg;0;0.850131;0;0.1114287;99.67986;85.60139;0.318552;51.32191;0.0009538599
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_119.jpg;0;1;0;0.1132891;99.68658;85.60976;0.5070041;51.35882;-0.0006307766
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_169.jpg;0;1;0;0.1792125;99.69264;85.61732;0.6630372;51.31905;-2.500123E-05
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_219.jpg;0;1;0;0.2134081;99.70349;85.63085;0.9155244;51.33327;-0.001106499
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_269.jpg;0;1;0;0.2611591;99.71178;85.64117;1.088381;51.32391;-0.0004623218
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_319.jpg;0;1;0;0.2998773;99.72545;85.65813;1.312168;51.32742;-0.003467951
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_368.jpg;0;1;0;0.3427102;99.73349;85.66856;1.308298;51.30776;-0.002197145
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_419.jpg;0;1;0;0.3790734;99.74643;85.68467;1.170974;51.2985;-0.002080627
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_470.jpg;0;1;0;0.4432582;99.75681;85.69751;1.113262;51.25013;-0.0002057716
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_519.jpg;0;1;0;0.4735217;99.77415;85.71893;1.071065;51.28564;-0.001466852
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_569.jpg;0;1;0;0.5262659;99.78718;85.73507;1.081046;51.21487;0.0008065327
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_620.jpg;0;1;0;0.5514138;99.80855;85.76139;1.130423;51.12107;-0.0008434257
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_669.jpg;0;1;0;0.6005762;99.82408;85.78059;1.188048;51.14463;-0.0005944343
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_720.jpg;0;1;0;0.6271497;99.84825;85.81033;1.239201;51.08599;-0.0007184317
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_769.jpg;0;1;0;0.6766612;99.86503;85.83099;1.236037;51.07422;-0.001618891
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_819.jpg;0;1;0;0.7083592;99.89159;85.86371;1.212538;51.05284;-0.0002382562
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_870.jpg;0;1;0;0.7658616;99.91051;85.88697;1.19784;51.06977;-0.000516726
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_920.jpg;0;1;0;0.7922857;99.94075;85.92414;1.199304;51.08369;-0.001104625
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_00_969.jpg;0;1;0;0.8441517;99.96193;85.95015;1.204481;51.04698;-0.0006479973
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_019.jpg;0;1;0;0.8872465;99.99567;85.99156;1.222561;51.00053;-0.0008417189
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_069.jpg;0;1;0;0.9368361;100.0193;86.02051;1.232265;50.99271;-0.001106827
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_119.jpg;0;1;0;0.9696079;100.0561;86.0656;1.232586;50.97224;-0.000689982
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_169.jpg;0;1;0;1.018068;100.0816;86.0968;1.224451;50.96754;-0.0006543535
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_220.jpg;0;1;0;1.045561;100.1212;86.14537;1.213587;50.96964;-0.0002070332
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_269.jpg;0;1;0;1.098764;100.1488;86.17907;1.219948;50.95295;-0.0007006801
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_320.jpg;0;1;0;1.127424;100.1916;86.23153;1.228456;50.91534;-0.0004845212
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_370.jpg;0;1;0;1.169634;100.221;86.26748;1.223732;50.89223;-0.0007613929
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_420.jpg;0;1;0;1.203552;100.2668;86.32343;1.226421;50.83917;-0.0006966788
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_469.jpg;0;1;0;1.252017;100.2984;86.36194;1.230334;50.81438;-0.0006134977
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_519.jpg;0;1;0;1.281254;100.3472;86.42137;1.230751;50.79771;-0.0009240229
